,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc
12-1117,1,3/4/2014,3,2014,PLUMHOFF v. RICKARD,32,1,0,1,1,0.692307692,5/27/2014,9,0,1,1,0,-0.013605442,0.483779972,0.37019555,-0.091658163,0.028571429,-0.054285714,0.013162393,-0.047523892,11.0,0.0,6.0,6.0,1,2.0,2.0,2,12.0,1,0,0,0,309,0,2,1,2,54,54,1,2,1,2,149,145,5,2,7,5,183,526,4,13,7,20,472,1063,8,24,16,41
12-1128,1,11/5/2013,11,2013,MEDTRONIC INC. v. MIROWSKI FAMILY VENTURES LLC,21,1,0,1,-1,1,1/22/2014,9,0,1,1,0.235772358,-0.261044177,-0.386666667,1,-0.100067069,0.084126984,0.080779221,0.067063492,-0.117867063,0.0,0.0,3.0,13.0,0,2.0,1.5,8,11.0,1,0,0,0,1069,0,10,1,49,94,152,2,6,5,11,157,92,5,1,8,10,156,69,1,0,6,3,0,703,0,13,1,53
12-1146,1,2/24/2014,2,2014,UTIL. AIR REGULATORY GROUP v. EPA,6,0.230769231,1,0.6,0.6,0,6/23/2014,7,2,0,-0.030413625,-0.121546961,0.243243243,0.464547677,0.398130841,0.012846064,-0.01095994,0.039231602,-0.081099942,0.256430653,0.0,2.0,12.0,12.0,1,1.0,9.0,8,11.0,1,1,0,847,797,9,8,16,15,203,159,4,4,5,6,112,184,2,4,2,7,219,599,1,11,9,21,168,475,2,4,11,8
12-1163,1,2/26/2014,2,2014,HIGHMARK INC. v. ALLCARE HEALTH MGMT. SYS.,0,1,-1,0,0,1,4/29/2014,9,0,1,1,0.044247788,0,0.38996139,1,-0.123690476,0.273571429,0,-0.0121337,-0.102232143,1.0,0.0,5.0,5.0,1,1.0,7.0,6,11.0,1,0,0,0,423,0,2,1,4,108,118,0,0,2,6,0,0,0,0,1,1,79,180,1,0,4,6,0,222,0,2,1,6
12-1168,-1,1/15/2014,1,2014,MCCULLEN v. COAKLEY,19,0.090909091,-1,0.846153846,0,0.4,6/26/2014,9,0,1,-0.409385113,-0.971631206,0.641843972,-0.13253012,0.076660988,0.014620349,0.0421875,0.089896313,0,-0.078899573,14.0,0.0,1.0,1.0,1,2.0,2.0,5,11.0,1,0,0,871,519,3,8,11,11,278,4,1,0,9,1,101,463,2,8,3,17,47,36,0,0,2,2,271,316,2,8,2,14
12-1173,0,1/14/2014,1,2014,BRANDT TRUST v. UNITED STATES,17,0.5,0,-1,0.333333333,0.454545455,3/10/2014,8,1,1,0.175983437,-0.490909091,-1,-0.219298246,-0.103578154,0.0478474,-0.064583333,0.07641369,0.001116071,-0.225955087,0.0,2.0,10.0,10.0,1,1.5,2.0,14,2.0,1,0,0,641,911,7,15,15,32,164,56,2,1,4,3,276,0,5,0,8,1,139,89,2,2,5,6,301,238,8,3,11,13
12-1182,-1,12/10/2013,12,2013,EPA v. EME HOMER CITY GENERATION,9,1,1,-0.333333333,-1,-0.058823529,4/29/2014,6,2,1,0.823734729,1,0.019283747,-0.483870968,-0.378283713,0.067295238,-0.111904762,-0.046428571,0.053606151,0.006429873,2.0,14.0,12.0,12.0,1,1.0,8.0,8,11.0,1,1,0,101,1113,0,8,2,13,0,30,0,1,1,1,178,185,4,1,5,4,460,160,5,2,10,5,787,405,9,12,19,20
12-1184,1,2/26/2014,2,2014,OCTANE FITNESS LLC v. ICON HEALTH & FITNESS INC.,1,0.333333333,0.333333333,-1,0,-0.166666667,4/29/2014,9,0,1,0.714592275,0.244215938,-0.26848249,-0.820289855,-0.515384615,-0.123170002,0.069070513,-0.042013889,-0.167003968,0.019080464,1.0,1.0,8.0,13.0,0,1.0,2.0,6,12.0,1,0,0,133,886,2,5,3,12,147,242,2,1,4,8,163,94,4,1,8,2,314,41,3,1,8,4,394,152,11,2,17,8
12-1200,-1,1/14/2014,1,2014,EXECUTIVE BENEFITS INS. AGENCY v. ARKISON,8,-0.666666667,-1,0.2,1,0.333333333,6/9/2014,9,0,0,-0.705389222,-0.853881279,0.307692308,0.792114695,0.269021739,0.329192177,0.105,-0.0125,0.244024725,0.011288078,1.0,0.0,9.0,9.0,1,2.0,2.0,8,12.0,1,0,0,764,123,6,0,11,5,203,16,4,0,5,1,27,51,2,2,2,3,58,500,0,6,2,22,269,467,8,7,16,20
12-1226,1,"12, 2014",12,2014,Young v. United Parcel Service,8,-0.555555556,0.857142857,0,-1,-1,,,,,-0.340761374,0.611111111,-1,-0.807909605,-0.888059701,0.037604875,-0.003530746,0.010897436,0.104545455,0.41425737,11.0,1.0,4.0,4.0,1,1.0,2.0,2,7.0,1,0,0,760,355,5,6,16,7,126,522,0,5,2,20,166,2,3,0,7,1,162,17,0,0,8,1,286,50,8,1,15,2
12-123,0,3/20/2013,3,2013,MARVIN D. HORNE et al. PETITIONERS v. DEPARTMENT OF AGRICULTURE,9,1,-0.666666667,1,1,0.555555556,6/10/2013,9,0,1,0.312101911,-0.627272727,0.179282869,0.445652174,0.529652352,-0.043649485,0.121924603,0.25,0.091326531,0.121188187,1.0,2.0,9.0,9.0,1,1.0,2.0,4,2.0,1,1,0,324,650,4,6,21,33,358,82,8,3,22,5,103,148,1,2,4,14,51,133,1,4,2,7,132,377,8,7,14,26
12-126,0,2/25/2013,2,2013,GREG MCQUIGGIN WARDEN PETITIONER v. FLOYD PERKINS,2,0.8,0,-0.2,0.555555556,-1,5/28/2013,5,4,1,1,0.406813627,-0.603833866,0.714693295,-1,-0.123199588,-0.001475593,-0.086346726,-0.172183508,-0.153125,3.0,5.0,6.0,6.0,1,2.0,1.5,1,2.0,1,1,1,71,392,4,14,4,35,148,353,8,3,10,16,251,62,3,3,12,5,100,606,2,14,7,35,39,0,3,0,5,1
12-1281,-1,1/13/2014,1,2014,NLRB v. NOEL CANNING,-25,-0.5,0,0,-0.75,-0.833333333,6/26/2014,9,0,0,-0.221776504,-0.375438596,-0.28057554,-0.744444444,-0.95505618,-0.004528529,-0.069757576,-0.17015873,0.059498069,0.035173611,2.0,1.0,12.0,12.0,1,1.0,8.0,13,11.0,1,1,0,1160,687,12,5,24,17,392,178,4,1,7,4,267,150,4,2,5,5,628,92,2,0,3,4,435,120,4,0,20,3
12-1315,1,1/21/2014,1,2014,PETRELLA v. METRO-GOLDWYN-MAYER INC.,8,-0.333333333,-1,0,1,-0.166666667,5/19/2014,6,3,1,-0.785330948,-0.00862069,-0.133640553,0.32967033,-0.537530266,0.301680996,0.124747475,-0.059391534,0.096626984,-0.037181981,0.0,0.0,9.0,9.0,1,2.0,2.0,8,2.0,1,0,0,499,60,4,0,10,3,117,115,2,3,2,3,123,94,1,2,2,3,61,121,1,1,3,5,635,192,8,4,15,9
12-133,-1,2/27/2013,2,2013,AMERICAN EXPRESS COMPANY et al. PETITIONERS v. ITALIAN COLORS RESTAURANT et al.,3,-0.076923077,-0.777777778,0.333333333,0.333333333,0.619047619,6/20/2013,5,3,0,0.700374532,-0.827868852,-0.302180685,-0.015810277,0.548891786,-0.03714307,-0.020020415,0.070601852,0.072083333,0.094380186,1.0,1.0,-1,2.0,0,2.0,4.0,8,11.0,1,0,0,243,1364,4,16,21,56,669,63,8,2,32,3,209,112,2,1,5,7,257,262,1,6,16,14,173,611,7,16,12,44
12-135,0,3/25/2013,3,2013,OXFORD HEALTH PLANS LLC PETITIONER v. JOHN IVAN SUTTER,6,0,0.142857143,-0.333333333,1,0.2,6/10/2013,9,0,0,0.464480874,-0.241992883,0.595092025,0.413194444,0.3556231,-0.045502646,0.014030137,-0.05375,-0.071070165,-0.094563056,1.0,0.0,3.0,3.0,1,1.0,2.0,8,12.0,1,0,0,147,496,1,5,5,33,349,213,2,7,16,12,66,260,3,5,4,12,169,407,1,3,7,20,212,462,4,17,11,31
12-1371,0,1/15/2014,1,2014,UNITED STATES v. CASTLEMAN,7,1,0.333333333,-1,-1,-0.333333333,3/26/2014,9,0,1,1,0.307692308,-1,-0.842767296,-0.170182841,-0.045243642,0.163541667,-0.1875,-0.025358423,0.007804233,2.0,3.0,6.0,6.0,1,2.0,2.0,1,2.0,1,0,0,0,951,0,11,1,24,73,136,0,2,2,5,94,0,2,0,2,1,293,25,9,0,15,2,441,313,11,7,24,11
12-138,1,12/2/2013,12,2013,BG GROUP PLC v. REPUBLIC OF ARGENTINA,-11,-0.6,-0.2,0.333333333,-1,-0.6,3/5/2014,7,2,1,-0.298543689,-0.09375,-0.526970954,-0.371428571,-0.162995595,-0.076628151,0.101875,-0.134183673,0.044990363,-0.141666667,0.0,0.0,12.0,12.0,1,2.0,1.5,8,10.0,1,0,0,643,289,3,2,9,4,280,232,4,6,5,7,184,57,1,0,3,3,481,224,1,3,12,4,132,95,1,1,8,4
12-1408,0,1/14/2014,1,2014,UNITED STATES v. QUALITY STORES INC. et al.,1,1,-0.333333333,-1,0,0,3/25/2014,8,0,1,1,-0.034482759,-1,-0.768115942,-0.092150171,-0.056511905,-0.116666667,0.183333333,-0.04375,-0.156944444,2.0,1.0,6.0,6.0,1,1.0,2.0,12,2.0,1,0,0,0,345,0,4,1,7,120,112,4,6,4,8,71,0,4,0,5,1,122,16,1,0,4,1,160,133,1,6,6,9
12-142,1,3/19/2013,3,2013,MUTUAL PHARMACEUTICAL COMPANY INC. PETITIONER v. KAREN L. BARTLETT,-11,1,-1,1,0.2,0,6/24/2013,5,4,1,0.930851064,-0.497975709,0.729032258,-0.087378641,0.861386139,0.014067055,0.066005291,0.219520202,-0.03246337,-0.239415584,1.0,0.0,1.0,1.0,1,2.0,2.0,10,12.0,1,0,0,26,726,0,7,2,34,185,62,5,0,9,5,21,134,1,5,1,9,340,282,1,4,15,15,7,94,0,2,1,6
12-144,-1,3/26/2013,3,2013,HOLLINGSWORTH v. PERRY,-2,0,-0.6,0,0.538461538,0.2,6/26/2013,5,4,0,-0.028037383,-0.549295775,0.017077799,0.592469546,0.239766082,0.024900959,0.122142857,0.071118052,0.173952641,-0.208367347,0.0,14.0,9.0,9.0,1,2.0,2.0,9,12.0,1,0,0,440,419,6,4,17,22,334,96,3,1,22,3,259,268,3,0,12,13,195,721,2,9,13,38,297,318,5,17,18,36
12-1493,0,1/22/2014,1,2014,ABRAMSKI v. UNITED STATES,-1,-0.333333333,-1,0.333333333,1,0.2,6/16/2014,5,4,0,0.600591716,0.044776119,-0.298245614,0.651612903,-0.002493766,0.181105442,0.403571429,-0.053928571,-0.166162132,0.154289216,3.0,2.0,4.0,4.0,1,2.0,2.0,1,2.0,1,1,1,146,541,1,3,4,9,98,105,2,1,3,2,185,100,1,1,2,4,81,389,2,6,3,18,407,400,7,8,11,16
12-1497,-1,"01, 2015",1,2015,Kellogg Brown & Root Services Inc. v. United States ex rel. Carter,24,0.384615385,0.25,-0.428571429,1,0.739130435,,,,,0.077283372,-0.118942731,-0.408866995,0.546218487,0.673469388,0.161767889,-0.021898148,0.1625,-0.021329365,0.004701527,0.0,2.0,4.0,4.0,1,2.0,1.5,8,12.0,1,0,0,197,230,3,5,7,17,254,200,2,4,10,11,143,60,3,2,9,3,54,184,0,5,2,14,96,492,4,2,6,2
12-158,0,11/5/2013,11,2013,BOND v. UNITED STATES,1,1,0,0,1,1,6/2/2014,9,0,1,0.965587045,-0.309278351,0,0.87755102,0.741935484,0.001004728,-0.005952381,0.191666667,0.063316993,-0.129201681,3.0,2.0,3.0,3.0,1,1.0,2.0,1,12.0,1,0,0,17,988,1,11,1,47,127,67,0,2,7,2,92,92,2,1,2,6,48,736,1,4,2,33,60,405,2,3,5,17
12-167,0,4/15/2013,4,2013,UNITED STATES PETITIONER v. ANTHONY DAVILA,6,0,-0.5,0.333333333,0.75,0,6/13/2013,9,0,1,-0.318181818,0.03250478,-0.497584541,0.822141561,0,-0.339940476,-0.237429237,-0.096564626,0.070475223,0,2.0,3.0,11.0,11.0,1,2.0,1.5,1,2.0,1,0,0,203,105,4,0,8,5,253,270,5,3,9,11,155,52,2,1,6,5,49,502,2,7,4,18,0,0,0,0,1,1
12-17,0,2/20/2013,2,2013,MARK J. MCBURNEY et al. PETITIONERS v. NATHANIEL L. YOUNG DEPUTY COMMISSIONER AND DIRECTOR VIRGINIA DIVISION OF CHILD SUPPORT ENFORCEMENT et al.,-13,-0.714285714,-0.5,0,-0.2,-0.3,4/29/2013,9,0,0,-0.27,-0.751131222,0.409482759,-0.120115774,-0.21748179,-0.079710288,-0.116904762,0.754206349,0.119209482,0.104459887,0.0,5.0,4.0,4.0,1,1.0,2.0,5,2.0,1,0,0,516,292,6,1,30,13,387,60,4,2,20,5,137,327,7,1,12,17,387,304,7,8,21,24,585,376,12,7,39,23
12-207,1,2/26/2013,2,2013,MARYLAND PETITIONER v. ALONZO JAY KING JR.,8,0.5,-0.2,0.555555556,0.25,-0.6,6/3/2013,5,4,1,0.462809917,-0.349152542,0.735751295,0.249749248,-0.35971223,-0.021660757,0.030357143,-0.002083333,-0.058683547,-0.045833333,5.0,3.0,0.0,0.0,1,2.0,1.0,1,6.0,1,0,0,195,566,6,10,14,33,199,96,5,2,9,4,51,335,2,10,4,20,374,623,13,9,20,28,189,89,3,1,13,8
12-236,0,3/19/2013,3,2013,KATHLEEN SEBELIUS SECRETARY OF HEALTH AND HUMAN SERVICES PETITIONER v. MELISSA CLOER,-16,-1,-1,-0.333333333,-0.5,-0.5,5/20/2013,9,0,0,-1,-0.316546763,-0.092250923,0.694980695,-0.369614512,0.017578125,-0.201587302,0.034392857,0.410576259,0.131608947,2.0,0.0,13.0,13.0,1,2.0,11.0,6,12.0,1,1,0,393,0,8,0,21,1,185,95,4,1,11,4,148,123,1,2,8,8,79,439,0,7,5,15,302,139,2,3,18,5
12-246,-1,4/17/2013,4,2013,GENOVEVO SALINAS PETITIONER v. TEXAS,9,-0.272727273,0,0,-1,1,6/17/2013,5,4,0,-0.22259887,0.44,-0.674698795,-0.549019608,1,-0.119498626,0.010650794,0.225892857,-0.266964286,-0.014285714,3.0,5.0,0.0,0.0,1,1.0,2.0,1,8.0,1,0,0,541,344,6,16,31,29,91,234,1,2,4,9,278,54,7,1,17,5,158,46,3,1,12,3,0,151,0,9,1,12
12-25,0,1/9/2013,1,2013,EDWARD F. MARACICH et al. PETITIONERS v. MICHAEL EUGENE SPEARS et al.,4,0.625,-0.818181818,0,0.538461538,0.666666667,6/17/2013,5,4,0,0.684474124,-0.694630872,-0.198380567,0.528130672,1,-0.003653382,0.112142857,-0.179746444,-0.000140415,-0.28125,0.0,0.0,4.0,4.0,1,1.0,2.0,6,13.0,1,0,0,189,1047,4,7,11,55,505,91,13,1,33,2,296,198,6,0,14,12,130,421,2,5,7,22,3,179,1,3,1,14
12-3,1,11/12/2013,11,2013,LAWSON v. FMR LLC,0,0.555555556,0.333333333,-0.6,-1,0,3/4/2014,6,3,1,0.153906867,0.365461847,-0.811764706,-0.56,-0.196969697,-0.116510076,0.110327381,-0.019318182,-0.330654762,-0.191691468,11.0,1.0,1.0,1.0,1,1.0,1.5,5,11.0,1,1,0,547,731,4,9,23,40,79,170,2,4,8,12,231,24,5,1,18,3,158,44,4,2,11,4,316,217,8,6,18,17
12-307,-1,3/27/2013,3,2013,UNITED STATES v. WINDSOR,-1,-0.2,-0.428571429,-0.384615385,0.75,0.538461538,6/26/2013,5,4,0,-0.667664671,-0.41809291,-0.423815621,0.393939394,0.389788294,0.244493525,-0.358147321,0.100708617,0.219915997,0.020353084,2.0,14.0,2.0,2.0,1,2.0,2.0,4,12.0,1,1,0,1334,222,12,2,64,13,290,121,5,4,17,8,556,225,9,4,34,10,371,853,4,27,14,51,245,558,5,14,11,35
12-315,1,12/9/2013,12,2013,AIR WISCONSIN AIRLINES CORP. v. HOEPER,-8,-0.2,-0.2,0.333333333,0.142857143,-0.8,1/27/2014,6,3,1,-0.214105793,0.229681979,0.073552426,0.311522048,-0.987951807,-0.004654762,0.12452381,-0.059057714,0.113786139,0.018098456,1.0,11.0,0.0,0.0,1,1.0,2.0,3,11.0,1,0,0,482,312,3,1,5,4,109,174,4,3,5,4,296,343,7,5,9,9,242,461,5,9,8,14,660,4,9,1,15,1
12-357,0,4/23/2013,4,2013,SEKHAR v. UNITED STATES,11,0.454545455,0,-1,0,0.714285714,6/26/2013,9,0,1,0.28616025,-0.851851852,-0.309973046,-0.21875,0.734939759,-0.030296537,0.053077037,0.061166667,0.002800325,0.10509533,3.0,2.0,2.0,2.0,1,1.5,2.0,1,12.0,1,0,0,343,623,4,7,17,31,175,14,4,2,8,2,254,128,3,1,16,7,195,125,2,3,11,5,99,650,5,14,8,49
12-398,0,4/15/2013,4,2013,ASSOCIATION FOR MOLECULAR PATHOLOGY et al. PETITIONERS v. MYRIAD GENETICS INC. et al.,11,0.384615385,1,0,0.333333333,-0.714285714,6/13/2013,9,0,1,0.299570815,0.05,-0.196819085,0.112745098,-0.546558704,0.000388232,0.27,-0.19705256,0.03519385,-0.178333333,1.0,1.0,-1,13.0,0,2.0,7.0,1,12.0,1,0,0,415,757,9,6,32,38,76,84,1,1,4,5,301,202,5,2,16,8,181,227,5,2,11,19,195,56,4,0,18,3
12-399,0,4/16/2013,4,2013,ADOPTIVE COUPLE v. BABY GIRL,18,0.5,0,1,0.857142857,0.285714286,6/25/2013,5,4,1,0.739864865,-0.181585678,-0.061946903,0.58974359,0.12890095,0.095469436,0.31875,0.123484848,0.006703515,-0.106247827,0.0,0.0,0.0,0.0,1,2.0,2.0,2,12.0,1,1,1,77,515,2,11,9,25,231,190,4,0,16,6,180,159,4,4,8,11,136,542,4,16,6,35,321,419,6,8,30,27
12-414,1,10/8/2013,10,2013,BURT v. TITLOW,11,0.5,0.5,1,1,0,11/5/2013,9,0,1,0.397236615,-0.16372796,-0.268656716,0.306451613,1,0.249516677,0.170136054,-0.022222222,0.01727591,0.13,5.0,3.0,6.0,6.0,1,2.0,1.5,1,12.0,1,0,0,349,809,8,11,19,46,231,166,2,3,10,8,85,49,3,1,6,3,129,243,0,7,6,11,0,207,0,0,1,11
12-416,0,3/25/2013,3,2013,FEDERAL TRADE COMMISSION PETITIONER v. ACTAVIS INC. et al.,8,-0.714285714,1,0.428571429,1,-0.5,6/17/2013,5,3,1,-0.406032483,0.482758621,0.684210526,-0.536,-0.651376147,-0.052121155,-0.2109375,-0.163174006,-0.153730159,0.223749715,2.0,1.0,-1,11.0,0,1.0,2.0,1,9.0,1,0,0,909,386,8,5,38,27,45,129,1,2,2,5,78,416,3,9,7,25,96,29,0,1,4,4,270,57,6,2,15,3
12-417,-1,11/4/2013,11,2013,SANDIFER v. UNITED STATES STEEL CORP.,9,0.777777778,-1,-1,-1,0,1/27/2014,9,0,0,0.514285714,-0.112,-1,-0.787610619,0.111553785,0.155817901,0.209126984,-0.051339286,-0.152664399,-0.26625737,11.0,1.0,7.0,7.0,1,1.0,2.0,7,12.0,1,0,0,187,583,1,10,12,39,139,111,2,2,10,2,29,0,0,0,2,1,303,36,5,0,15,2,223,279,1,7,21,25
12-418,0,4/17/2013,4,2013,UNITED STATES PETITIONER v. ANTHONY JAMES KEBODEAUX,-4,1,0,-1,-0.142857143,-0.75,6/24/2013,7,2,1,1,-1,-1,-0.493598862,-0.584766585,-0.034748519,-0.121212121,0.014285714,-0.0102422,0.037933298,2.0,3.0,-1,5.0,0,1.0,2.0,1,13.0,1,0,0,0,859,0,11,1,36,43,0,0,0,1,1,100,0,1,0,2,1,525,178,4,2,21,10,645,169,10,1,41,5
12-43,0,2/20/2013,2,2013,PPL CORPORATION AND SUBSIDIARIES PETITIONERS v. COMMISSIONER OF INTERNAL REVENUE,4,0.68,0,-1,1,-1,5/20/2013,9,0,1,0.556818182,0.112903226,-1,0.747524752,0.5,0.003124149,-0.69375,0.095238095,-0.063630952,-0.158333333,8.0,2.0,3.0,3.0,1,2.0,1.5,12,2.0,1,1,0,524,1781,1,20,23,87,55,69,1,2,3,5,99,0,3,0,5,1,57,365,1,5,3,19,19,57,1,0,2,3
12-462,1,12/3/2013,12,2013,NORTHWEST INC. v. GINSBERG,10,0.75,0,-1,-0.666666667,0.6,4/2/2014,9,0,1,0.511591963,0.46039604,-1,-0.443535188,0.197110423,0.110354555,0.158035714,0.057936508,-0.013181818,-0.009823446,1.0,15.0,9.0,9.0,1,1.0,4.0,10,12.0,1,0,0,158,489,1,7,2,11,115,295,3,5,5,8,291,0,4,0,6,1,444,170,4,0,15,4,389,580,5,10,8,15
12-464,0,10/16/2013,10,2013,KALEY v. UNITED STATES,10,1,-1,0.333333333,1,-0.6,2/25/2014,6,3,0,1,-0.797833935,0.555555556,0.546610169,-0.820343461,-0.14921565,0.300892857,0.057490079,-0.031095479,-0.136239496,3.0,2.0,11.0,11.0,1,1.0,2.0,1,2.0,1,0,0,0,1241,0,12,1,52,508,56,11,2,26,3,96,337,6,11,11,24,214,730,0,2,8,35,689,68,15,5,41,5
12-484,-1,4/24/2013,4,2013,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER PETITIONER v. NAIEL NASSAR,12,0.5,-0.333333333,1,0.714285714,0.8,6/24/2013,5,4,1,0.084033613,-0.620991254,1,0.700598802,0.897926635,0.127940115,0.050443723,-0.031428571,-0.198974868,-0.139940476,1.0,0.0,5.0,5.0,1,2.0,6.0,2,11.0,1,0,0,327,391,5,5,25,18,278,65,2,1,12,2,0,127,0,2,1,6,50,290,1,4,2,20,32,595,0,8,3,39
12-515,-1,12/2/2013,12,2013,MICHIGAN v. BAY MILLS INDIAN COMMUNITY,6,0.142857143,1,0.428571429,1,1,5/27/2014,5,4,0,0.234962406,0.304556355,0.18694362,0.633116883,0.848920863,0.052454545,-0.087844612,0.152738095,-0.079017857,0.095833333,5.0,6.0,6.0,6.0,1,2.0,4.0,2,11.0,1,0,0,407,657,7,11,16,16,145,274,2,3,3,7,146,200,4,4,8,8,113,515,4,7,7,19,34,257,1,9,2,16
12-5196,-1,1/13/2014,1,2014,LAW v. SIEGEL,-4,0.666666667,-0.2,-0.5,1,0,3/4/2014,9,0,1,0.803508772,-0.247588424,-0.416666667,0.153846154,-1,0.329614856,0.03987013,-0.077455357,-0.21856685,0.216666667,0.0,1.0,9.0,9.0,1,1.0,2.0,8,12.0,1,0,0,56,516,0,6,2,10,194,117,4,2,7,5,136,56,3,1,4,2,132,180,3,2,6,6,17,0,1,0,1,1
12-52,-1,3/20/2013,3,2013,DANÆS CITY USED CARS INC. DBA DANÆS CITY AUTO BODY PETITIONER v. ROBERT PELKEY,-1,-0.2,-1,0,1,0.4,5/13/2013,9,0,0,0.312320917,-1,0,0.412322275,-0.055934516,-0.250549316,0.121590909,0,0.168666667,-0.177169334,1.0,0.0,0.0,0.0,1,2.0,1.5,10,6.0,1,0,0,360,763,4,7,18,40,328,0,5,0,15,1,0,0,0,0,1,1,186,447,3,4,11,21,387,367,7,9,20,30
12-536,1,10/8/2013,10,2013,MCCUTCHEON v. FEC,-1,-0.5,-1,0,0.666666667,0.466666667,4/2/2014,5,4,1,-0.308730873,-0.369047619,0.020080321,0.470219436,0.182989691,0.028718445,0.057383041,-0.108026266,0.043524789,0.04989229,0.0,2.0,12.0,12.0,1,2.0,9.0,3,1.0,2,1,0,727,707,7,13,42,37,232,106,3,2,12,3,122,127,4,3,6,9,169,469,4,6,9,19,323,459,5,9,18,28
12-547,0,4/24/2013,4,2013,LINDA METRISH WARDEN PETITIONER v. BURT LANCASTER,24,0.75,0,0,0.333333333,0.625,5/20/2013,9,0,1,0.797356828,-0.002710027,0.252336449,0.374570447,0.415384615,0.142726481,-0.095912698,0.001934524,-0.218558673,-0.001190476,5.0,3.0,6.0,6.0,1,2.0,5.0,1,12.0,1,0,0,69,612,3,11,7,48,191,184,9,3,17,10,120,201,5,0,7,7,91,204,2,6,6,17,190,460,3,14,12,31
12-562,0,10/9/2013,10,2013,UNITED STATES v. WOODS,17,0.714285714,-1,0.333333333,-1,0.6,12/3/2013,9,0,1,0.731111111,-0.386206897,0.344827586,-0.431893688,0.641025641,0.035460881,0.030952381,0.018229167,0.033021886,-0.025584215,2.0,0.0,5.0,5.0,1,1.0,2.0,12,2.0,1,1,0,134,781,4,11,10,52,203,89,6,2,8,4,76,156,4,4,5,5,432,171,2,1,20,5,70,322,2,6,5,20
12-574,1,11/4/2013,11,2013,WALDEN v. FIORE,16,1,0.2,-1,-0.333333333,0.5,2/25/2014,9,0,1,1,0.355102041,-1,-0.264604811,0.472361809,-0.11272578,-0.224906926,-0.059253247,0.195104895,-0.122686688,11.0,0.0,9.0,9.0,1,2.0,1.5,4,11.0,1,0,0,0,679,0,15,1,56,158,332,3,2,6,22,242,0,3,0,11,1,184,107,4,2,10,7,105,293,4,3,9,19
12-609,1,10/16/2013,10,2013,KANSAS v. CHEEVER,25,0.8,1,1,1,0.5,12/11/2013,9,0,1,0.036170213,0.415962441,-0.044496487,-0.165919283,-0.053645117,0.121946279,0.091076477,-0.036491402,0.071568627,0.168297619,5.0,3.0,0.0,0.0,1,2.0,8.0,1,12.0,1,0,0,477,487,5,10,14,39,313,756,6,9,13,37,223,204,2,5,8,11,260,186,7,0,14,11,387,344,5,5,20,24
12-62,0,2/26/2013,2,2013,MARVIN PEUGH PETITIONER v. UNITED STATES,-12,0.333333333,0.714285714,0.5,-0.166666667,-0.333333333,6/10/2013,5,4,1,0.742028986,0.546531303,0.444759207,-0.276740238,-0.515432099,-0.040880275,0.141426768,-0.004545455,0.052291317,-0.194532722,1.0,2.0,7.0,7.0,1,1.0,2.0,1,2.0,1,0,0,93,601,0,4,5,28,134,511,1,6,4,25,98,310,4,1,6,17,376,213,8,5,22,14,491,169,16,5,36,10
12-682,-1,10/15/2013,10,2013,SCHUETTE v. COALITION TO DEFEND AFFIRMATIVE ACTION,10,1,-1,0.2,1,1,4/22/2014,6,2,1,0.656565657,-1,0.267368421,0.712121212,1,-0.11005291,0.141686508,-0.000765306,0.168516156,-0.109832451,0.0,14.0,6.0,6.0,1,2.0,1.5,2,12.0,1,0,0,102,492,0,10,7,34,436,0,6,0,20,1,174,301,4,6,13,25,76,452,1,9,4,22,0,397,0,14,1,33
12-696,1,11/6/2013,11,2013,TOWN OF GREECE v. GALLOWAY,-1,-0.2,0.333333333,-0.333333333,1,0,5/5/2014,5,4,1,0.360381862,-0.458227848,-0.211764706,-0.23583181,0.371014493,-0.011273054,0.059663866,0.21831448,0.013174603,-0.027978474,4.0,0.0,2.0,2.0,1,2.0,1.5,3,11.0,1,0,0,268,570,4,5,15,27,296,107,4,1,17,5,309,201,9,3,20,10,338,219,8,12,16,22,221,502,9,12,20,33
